  [Bronchospasm] macro-cycle end, t=104.75s  auto_peep=3.3620
  [Bronchospasm] macro-cycle end, t=111.14s  auto_peep=3.8273
  [Bronchospasm] macro-cycle end, t=117.57s  auto_peep=4.2073
  [Bronchospasm] macro-cycle end, t=123.57s  auto_peep=4.7896
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=4.3948
  [Bronchospasm] macro-cycle end, t= 12.01s  auto_peep=4.1537
  [Bronchospasm] macro-cycle end, t= 22.82s  auto_peep=2.4283
  [Bronchospasm] macro-cycle end, t= 33.39s  auto_peep=4.9900
  [Bronchospasm] macro-cycle end, t= 39.39s  auto_peep=3.7780
  [Bronchospasm] macro-cycle end, t= 45.39s  auto_peep=2.5383
  [Bronchospasm] macro-cycle end, t= 51.95s  auto_peep=4.7286
  [Bronchospasm] macro-cycle end, t= 58.19s  auto_peep=4.1516
  [Bronchospasm] macro-cycle end, t= 75.88s  auto_peep=2.2328
  [Bronchospasm] macro-cycle end, t= 82.13s  auto_peep=3.7951
  [Bronchospasm] macro-cycle end, t= 92.72s  auto_peep=2.5260
  [Bronchospasm] macro-cycle end, t= 98.72s  auto_peep=3.9830
  [Bronchospasm] macro-cycle end, t=104.72s  auto_peep=2.7939
  [Bronchospasm] macro-cycle end, t=111.22s  auto_peep=3.4910
  [Bronchospasm] macro-cycle end, t=117.22s  auto_peep=4.9488
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=5.2447
  [Bronchospasm] macro-cycle end, t= 12.00s  auto_peep=2.4212
  [Bronchospasm] macro-cycle end, t= 18.00s  auto_peep=3.7480
  [Bronchospasm] macro-cycle end, t= 24.00s  auto_peep=3.4620
  [Bronchospasm] macro-cycle end, t= 30.00s  auto_peep=2.9910
  [Bronchospasm] macro-cycle end, t= 36.00s  auto_peep=3.7568
  [Bronchospasm] macro-cycle end, t= 42.73s  auto_peep=3.7601
  [Bronchospasm] macro-cycle end, t= 48.73s  auto_peep=4.2885
  [Bronchospasm] macro-cycle end, t= 54.73s  auto_peep=4.5440
  [Bronchospasm] macro-cycle end, t= 60.73s  auto_peep=3.1980
  [Bronchospasm] macro-cycle end, t= 66.73s  auto_peep=3.3957
  [Bronchospasm] macro-cycle end, t= 72.73s  auto_peep=3.6981
  [Bronchospasm] macro-cycle end, t= 79.02s  auto_peep=3.7404
  [Bronchospasm] macro-cycle end, t= 85.75s  auto_peep=3.7712
  [Bronchospasm] macro-cycle end, t= 91.75s  auto_peep=3.6072
  [Bronchospasm] macro-cycle end, t=102.50s  auto_peep=2.0313
  [Bronchospasm] macro-cycle end, t=108.50s  auto_peep=3.5846
  [Bronchospasm] macro-cycle end, t=114.50s  auto_peep=3.4904
  [Bronchospasm] macro-cycle end, t=121.16s  auto_peep=4.3555
  [Bronchospasm] macro-cycle end, t=  6.77s  auto_peep=5.0971
  [Bronchospasm] macro-cycle end, t= 12.94s  auto_peep=3.9101
  [Bronchospasm] macro-cycle end, t= 35.81s  auto_peep=2.9324
  [Bronchospasm] macro-cycle end, t= 42.41s  auto_peep=4.0009
  [Bronchospasm] macro-cycle end, t= 48.52s  auto_peep=3.8891
  [Bronchospasm] macro-cycle end, t= 55.09s  auto_peep=4.8467
  [Bronchospasm] macro-cycle end, t= 61.73s  auto_peep=4.7082
  [Bronchospasm] macro-cycle end, t= 67.73s  auto_peep=4.9494
  [Bronchospasm] macro-cycle end, t= 73.73s  auto_peep=4.1854
  [Bronchospasm] macro-cycle end, t= 79.73s  auto_peep=2.6081
  [Bronchospasm] macro-cycle end, t= 86.40s  auto_peep=2.8636
  [Bronchospasm] macro-cycle end, t= 92.43s  auto_peep=3.7529
  [Bronchospasm] macro-cycle end, t= 98.81s  auto_peep=5.4391
  [Bronchospasm] macro-cycle end, t=104.81s  auto_peep=3.6942
  [Bronchospasm] macro-cycle end, t=111.10s  auto_peep=4.4568
  [Bronchospasm] macro-cycle end, t=122.97s  auto_peep=1.9954
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=4.1750
  [Bronchospasm] macro-cycle end, t= 12.02s  auto_peep=3.8788
